Youngster,Owen,"Have we met or not? I don't really remember. Well, I guess it's nice to meet you anyway!",Yahoo! YAHOO! I did it! I won again!,No way... NO WAY! How could I lose again...
Youngster,Tancred,All right! Let's go!,Yahoo! Ya-hoooooo! I did it! I won again!,No! I lost!
Youngster,Ryan,All right! Here I come! I'll show you my power!,You amazed? You surprised? By the power of my Pokémon?!,Whoa! You are incredible! I'm amazed and surprised!
Youngster,Yoshihiro,Haw haw haw... I'll show you how hawesome my Pokémon are!,"What do you think?! Hawesome, huh? My Pokémon and I are the strongest!","Could it be... How... My Pokémon and I are the strongest, though..."
Youngster,Pascal,No need to waste time saying hello. Bring it on whenever you're ready!,What a match! I'm quite satisfied with the result.,I won't lose next time! Let's battle again sometime!
Youngster,Pascal,"B-b-bonjour, Dresseur! B-battle, s'il vous plaît!","Aw, sh-shucks!",I won't lose next time! Let's battle again sometime!
Youngster,Isaac,"Don't let your guard down, or you may be crying when a kid beats you.","I may be young, but that doesn't mean I'll lose—even to a grown-up.",Sheesh! Can't you see that I'm just a kid! It wasn't fair of you to go all out like that!
Youngster,Simppa,I've raised my Pokémon with great care. You're not allowed to hurt them!,"Yay! Yay! I won! My Pokémon and I are amazing, huh?!",Your Pokémon are more amazing! Trade with me!
Lass,Viviane,Let's have a fun Pokémon battle!,Hehe! Mehehehehe! See? It's fun to win!,That was pretty amazingly fun! You've totally exhausted me...
Lass,Seiko,I'll show you the ropes of how to really use Pokémon!,"I guess we can stop training for today. You learned some new things, right?",You actually taught me a lesson! You're pretty amazing!
Lass,Ernestine,A serious battle starts from a serious beginning! Are you sure you're ready?,"Seriously, winning a serious battle is seriously the best!","Seriously, I lost. That is, like, seriously depressing, but you were seriously cool."
Lass,Emelja,"You're only young once. And you only get one shot at a given battle. Soon, you'll be nothing but a memory.",A bit more color has been added to a page of my youthful memories...,I don't need memories like this. Deleting memory...
Lass,Chloe,School is boring. I've got nothing to do. Yawn. I'm only battling to kill the time.,"Am I supposed to be all, like, “Yay!” when I win? It's too late to get excited now.",I'm actually getting tired of battling... There's gotta be something new to do...
Lass,Chloe,"You'd better go easy on me, OK? Though I'll be seriously fighting!","Hey! I told you to go easy on me! Still, you're pretty cool when you're serious.",I'm actually getting tired of battling... There's gotta be something new to do...
Lass,Ruth,"Um, um, um, you know what? These Pokémon are my friends.",I...I'm sorry. I just wanted to show you my friends...,"Just being with my Pokémon makes me happy, so it's OK!"
Lass,Noriko,"I'm a beginner, but I'll do my best! I'll give it everything I can. Watch me!",Oh! I forgot to finish off our battle! I still need to study more...,Sorry if I bored you! I'll try harder next time!
Schoolboy,Powell,...Heehee. I'm confident in my calculations and analysis.,Heheh. Exactly as I planned... There's no way I would lose.,Ohhhh... Calculation and analysis are perhaps no match for chance...
Schoolboy,Aloysius,I'm gaining as much experience as I can because I want to be a Gym Leader someday.,That was quite an experience. The data I got from you will help me grow stronger.,"Even difficult, trying experiences have their purpose, I suppose."
Schoolboy,Declan,"We're about to battle, but that doesn't mean we can't be polite! Good luck!","That could have gone better, but I do thank you very much.","I feel like crying in frustration, but I do thank you very much."
Schoolboy,Jibade,Hey! This is no laughing matter! We're about to battle!,"Regardless of who wins or loses, we should thank each other after a battle.","Regardless of who wins or loses, we should thank each other after a battle."
Schoolboy,Ronald,"I've been studying every single day, so I'm taking a break for a change.","You see, playing with Pokémon is fun. I want to study Pokémon.","Ah, my Pokémon lost... Maybe I'll stick to studying."
Schoolboy,Tefere,I'll give you a battle worthy of a battle-school valedictorian!,Now do you understand the ability of someone who's at the head of the class?,"Wh-where do you study? I want to study there, too!"
Schoolboy,Kevin,"My dad is a Veteran Trainer, so I should have what it takes, too.",I guess the talent you're born with really does decide battles...,"This result is impossible... I am my father's son, after all."
Schoolboy,Kevin,I want to be a Pokémon researcher when I grow up.,I must do my best to learn even more about Pokémon.,"This result is impossible... I am my father's son, after all."
Schoolgirl,Sophie,Ah... You look strong... I hope I'll be all right...,"Oops, you weren't as strong as I expected. Looks can be deceiving.","I could tell you are a strong Trainer! What you see is what you get, right?"
Schoolgirl,Rumiko,"I'm good at the strategy and tactics of battles, but I'm bad at throwing Poké Balls!",I was able to throw my Poké Ball this time! It usually just rolls out of my hand...,If only there were a machine that would throw Poké Balls for me...
Schoolgirl,Dominique,I always get the best grades! I aim to be number one in everything!,I will keep winning and winning and winning... I will be number one!,"If I lose at such an early stage, I can't be number one..."
Schoolgirl,Opeyemi,"I'm honestly not that good at Pokémon battles... When I think about my future, though, it seems like I have no choice but to battle!","I hate to say this, but if you can't even beat me, the rest of the way is going to be really tough.",See... I knew I couldn't win. I'm not cut out for competition.
Schoolgirl,Pauline,"Experience begets power! Isn't that what they say?! Anyway, won't you battle me?","Even an amateur like me can win! Experience is the best teacher, so they say.",This battle was a valuable experience. I still need to gain more experience!
Schoolgirl,Pauline,Wha—? You wanna battle with me? I suppose we could arrange something...,"Oh, wh-whoa. I'm no match for you. Your Pokémon are somethin' else.",This battle was a valuable experience. I still need to gain more experience!
Schoolgirl,Eloise,"Grumble, grumble...","Grumble, grumble... Huh? Did I win?","Grumble, grumble... Oh? Was that it?"
