beedrill,120,3600
gourgeistsmall,59,1770
grimmsnarlgmax,130,3900
delphox,59,2360
shelmet,59,2360
dragonair,59,1770
frogadier,39,1560
doublade,63,1890
morgrem,40,1600
gengar,39,1560
seviper,59,2360
gyarados,59,1770
nuzleaf,29,1160
stratagem,80,2400
lombre,59,1770
grimmsnarl,63,2520
tranquill,21,840
manaphy,39,1560
zubat,39,1560
bidooff,43,1290
vivillonfancy,79,2370
dottler,50,2000
basculin,29,1160
sneasel,50,2000
pinsirmega,39,1560
cloyster,59,2360
garchompmega,59,2360
trumbeak,29,870
keldeo,39,1560
ariados,40,1600
golisopod,39,1170
grumpig,47,1880
greninjaash,119,3570
alcremierubyswirl,60,2400
swinub,109,3270
persian,50,2000
steenee,43,1290
yamaskgalar,135,5400
treecko,39,1560
tsareena,43,1290
farfetchdgalar,60,2400
amaura,87,2610
drakloak,60,1800
registeel,69,2070
protowattf,60,1800
cherrim,99,2970
mamoswinef,79,2370
salazzle,59,1770
drednawgmax,180,5400
throh,69,2070
alcremie,60,2400
scratchet,72,2880
banettemega,71,2840
wooper,79,2370
azelf,89,2670
indeedee,50,1500
plasmanta,80,2400
bunnelby,47,1410
sandslash,48,1920
whismur,50,2000
pumpkaboo,119,3570
quagsire,70,2100
charizard,47,1880
arceuswater,89,2670
starmie,57,2280
chromera,180,5400
chesnaught,59,1770
unownquestion,79,2370
combee,43,1290
joltik,39,1560
swampert,59,2360
dugtrio,120,3600
pikachugmax,100,3000
polteageistantique,89,2670
quilava,50,1500
linoonegalar,30,1200
scraggy,40,1200
togepi,48,1440
stufful,39,1170
golurk,79,2370
deerling,59,2360
floatzelf,47,1410
liepard,39,1560
thwackey,34,1360
typenull,59,1770
alcremiemintcreamclover,60,2400
kabuto,60,2400
shinxf,39,1560
alcremiecaramelswirlribbon,59,1770
petilil,38,1520
alcremielemoncreamstar,59,1770
sylveon,47,1410
oricoriopau,55,1650
spiritomb,124,3720
mewtwomegax,59,2360
mewtwomegay,89,3560
mollux,60,3000
feraligatr,64,1920
pumpkaboosuper,119,3570
sobble,45,1800
alcremierubycreamstar,59,1770
furfroudiamond,40,1200
medichammega,43,1720
nidorina,40,1600
shiftry,44,1760
hatenna,50,2000
vikavolt,78,2340
wynaut,39,1560
nidorino,50,2000
raticatealola,48,1440
roselia,72,2160
pansear,40,1600
lileep,99,2970
roserade,80,2400
dragalge,79,2370
donphanf,49,1470
yanma,120,3600
aipom,30,900
dartrix,39,1170
cradily,59,2360
xatuf,29,1160
sirfetchd,60,2400
gardevoir,77,2310
crustle,59,2360
gigalith,63,1890
falinks,30,1200
virizion,59,2360
houndoom,42,1680
toxicroak,15,600
sandshrewalola,39,1170
gliscor,69,2070
